BRCA1:Exon_001	BRCA1:Exon_002	BRCA1:Exon_003	BRCA1:Exon_005	BRCA1:Exon_006	BRCA1:Exon_007	BRCA1:Exon_008	BRCA1:Exon_009	BRCA1:Exon_010	BRCA1:Exon_0111	BRCA1:Exon_012	BRCA1:Exon_013	BRCA1:Exon_014	BRCA1:Exon_015	BRCA1:Exon_016	BRCA1:Exon_017	BRCA1:Exon_018	BRCA1:Exon_019	BRCA1:Exon_020	BRCA1:Exon_021	BRCA1:Exon_022	BRCA1:Exon_023	BRCA1:Exon_024	BRCA1:Intron_001	BRCA1:Intron_002	BRCA1:Intron_003	BRCA1:Intron_005	BRCA1:Intron_006	BRCA1:Intron_007	BRCA1:Intron_008	BRCA1:Intron_009	BRCA1:Intron_010	BRCA1:Intron_011	BRCA1:Intron_012	BRCA1:Intron_013	BRCA1:Intron_014	BRCA1:Intron_015	BRCA1:Intron_016	BRCA1:Intron_017	BRCA1:Intron_018	BRCA1:Intron_019	BRCA1:Intron_020	BRCA1:Intron_021	BRCA1:Intron_022	BRCA1:Intron_023	BRCA2:Exon_001	BRCA2:Exon_002	BRCA2:Exon_003	BRCA2:Exon_004	BRCA2:Exon_005	BRCA2:Exon_006	BRCA2:Exon_007	BRCA2:Exon_008	BRCA2:Exon_009	BRCA2:Exon_010	BRCA2:Exon_011	BRCA2:Exon_012	BRCA2:Exon_013	BRCA2:Exon_014	BRCA2:Exon_015	BRCA2:Exon_016	BRCA2:Exon_017	BRCA2:Exon_018	BRCA2:Exon_019	BRCA2:Exon_020	BRCA2:Exon_021	BRCA2:Exon_022	BRCA2:Exon_023	BRCA2:Exon_024	BRCA2:Exon_025	BRCA2:Exon_026	BRCA2:Exon_027	BRCA2:Intron_001	BRCA2:Intron_002	BRCA2:Intron_003	BRCA2:Intron_004	BRCA2:Intron_005	BRCA2:Intron_006	BRCA2:Intron_007	BRCA2:Intron_008	BRCA2:Intron_009	BRCA2:Intron_010	BRCA2:Intron_011	BRCA2:Intron_012	BRCA2:Intron_013	BRCA2:Intron_014	BRCA2:Intron_015	BRCA2:Intron_016	BRCA2:Intron_017	BRCA2:Intron_018	BRCA2:Intron_019	BRCA2:Intron_020	BRCA2:Intron_021	BRCA2:Intron_022	BRCA2:Intron_023	BRCA2:Intron_024	BRCA2:Intron_025	BRCA2:Intron_026	run
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2924	3615	2374	1562	0	0	2	4	4	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	293	52	11	0	0	0	0	0	0	0	0	RunRachid
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3194	4771	4636	1763	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	9	0	0	7	0	0	0	0	329	85	27	0	0	0	0	1	0	0	0	RunRachid
0	0	0	0	0	0	4	4	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1013	975	1795	2581	2237	1799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	114	92	42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RunRachid
0	0	0	0	0	0	2	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1031	1125	1822	2624	2238	1786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	118	78	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RunRachid
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3025	3700	3897	2043	2883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	145	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RunRachid
0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2120	2522	2652	1301	1897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	68	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RunRachid
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	0	0	2747	5297	6276	5184	4284	2118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	378	280	231	3	RunRachid
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2967	5766	6948	5694	5019	2532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	459	276	299	8	RunRachid
0	0	0	0	0	0	3454	3380	4722	7606	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	201	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RunRachid
0	0	0	0	0	0	3980	3270	2521	1702	7453	8687	4885	1330	0	0	0	0	3	3	3	2	2	0	0	0	0	0	0	463	128	117	476	364	0	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RunRachid
