BRCA1	BRCA2	run
0	4942	RunRachid
0	6816	RunRachid
6	2610	RunRachid
7	2656	RunRachid
3916	0	RunRachid
2667	0	RunRachid
0	9828	RunRachid
0	11081	RunRachid
7945	3	RunRachid
10588	0	RunRachid
7656	0	RunRachid
5697	0	RunRachid
7876	1	RunRachid
3130	0	RunRachid
4121	1	RunRachid
6440	0	RunRachid
4	2666	RunRachid
0	3549	RunRachid
0	5727	RunRachid
0	9130	RunRachid
9	0	RunRachid
7	0	RunRachid
3931	0	RunRachid
28	0	RunRachid
4	8	RunRachid
0	14	RunRachid
1	12	RunRachid
0	21	RunRachid
7652	0	RunRachid
3035	0	RunRachid
6641	3	RunRachid
7827	0	RunRachid
5	3881	RunRachid
0	6665	RunRachid
1	7097	RunRachid
0	10986	RunRachid
7645	0	RunRachid
2588	0	RunRachid
4915	1	RunRachid
9660	0	RunRachid
3	4616	RunRachid
0	12587	RunRachid
1	4999	RunRachid
0	9472	RunRachid
7253	1	RunRachid
3202	0	RunRachid
6217	1	RunRachid
9105	0	RunRachid
4	4053	RunRachid
0	7810	RunRachid
1	7597	RunRachid
0	12304	RunRachid
8583	2	RunRachid
2689	0	RunRachid
3919	0	RunRachid
11929	0	RunRachid
8	3772	RunRachid
0	11271	RunRachid
0	6216	RunRachid
0	11616	RunRachid
8675	37	RunRachid
3122	0	RunRachid
9100	1	RunRachid
8100	0	RunRachid
1	3725	RunRachid
0	7015	RunRachid
1	6295	RunRachid
0	11918	RunRachid
8879	2	RunRachid
2818	0	RunRachid
4250	2	RunRachid
9525	0	RunRachid
15	4403	RunRachid
0	11735	RunRachid
0	7689	RunRachid
0	12830	RunRachid
9837	6	RunRachid
3428	0	RunRachid
6172	5	RunRachid
9880	0	RunRachid
4	4414	RunRachid
0	8492	RunRachid
0	8772	RunRachid
0	11399	RunRachid
8489	7	RunRachid
2676	0	RunRachid
4297	2	RunRachid
10389	0	RunRachid
2	4953	RunRachid
0	14125	RunRachid
1	6423	RunRachid
0	8624	RunRachid
8873	0	RunRachid
3071	0	RunRachid
4967	2	RunRachid
8478	0	RunRachid
3	4205	RunRachid
0	7329	RunRachid
2	7563	RunRachid
0	12892	RunRachid
8220	1	RunRachid
3219	0	RunRachid
5961	3	RunRachid
6835	0	RunRachid
2	3549	RunRachid
0	14564	RunRachid
3	5159	RunRachid
0	10827	RunRachid
5310	1	RunRachid
3090	0	RunRachid
5609	0	RunRachid
8627	0	RunRachid
1	3039	RunRachid
0	7669	RunRachid
1	9390	RunRachid
0	11381	RunRachid
7765	5	RunRachid
2370	0	RunRachid
5785	0	RunRachid
5686	0	RunRachid
4	3022	RunRachid
0	11522	RunRachid
4	5576	RunRachid
0	13485	RunRachid
8224	3	RunRachid
2021	0	RunRachid
4322	2	RunRachid
8622	0	RunRachid
3	3208	RunRachid
0	6856	RunRachid
2	6610	RunRachid
0	11254	RunRachid
7471	2	RunRachid
2296	0	RunRachid
4967	1	RunRachid
4946	0	RunRachid
3	2732	RunRachid
0	11324	RunRachid
2	6317	RunRachid
0	12221	RunRachid
7422	3	RunRachid
2493	0	RunRachid
4961	1	RunRachid
7688	0	RunRachid
13	2514	RunRachid
0	7758	RunRachid
4	6835	RunRachid
0	12821	RunRachid
8472	2	RunRachid
3012	0	RunRachid
6386	2	RunRachid
9124	0	RunRachid
8	4956	RunRachid
0	11735	RunRachid
4	5085	RunRachid
0	14499	RunRachid
7418	1	RunRachid
1898	0	RunRachid
4932	0	RunRachid
6747	0	RunRachid
9	2250	RunRachid
0	8171	RunRachid
4	6290	RunRachid
0	12090	RunRachid
8530	1	RunRachid
3367	0	RunRachid
7139	2	RunRachid
8588	0	RunRachid
18	2922	RunRachid
0	10287	RunRachid
1	3122	RunRachid
0	13150	RunRachid
5	3905	RunRachid
0	3603	RunRachid
7502	0	RunRachid
9847	0	RunRachid
7508	0	RunRachid
12207	0	RunRachid
7441	0	RunRachid
6895	0	RunRachid
451	2944	RunInge
456	1560	RunInge
416	811	RunInge
315	929	RunInge
338	2036	RunInge
364	1312	RunInge
215	1086	RunInge
612	824	RunInge
224	1427	RunInge
250	1431	RunInge
74	497	RunInge
122	590	RunInge
202	1097	RunInge
172	470	RunInge
223	1071	RunInge
194	1232	RunInge
342	2028	RunInge
312	2801	RunInge
297	1635	RunInge
657	3371	RunInge
2035	3556	RunMthomassen
2540	2348	RunMthomassen
1832	3452	RunMthomassen
2425	2763	RunMthomassen
2611	3964	RunMthomassen
2417	3098	RunMthomassen
1621	2111	RunMthomassen
1502	2040	RunMthomassen
2140	4020	RunMthomassen
2007	2722	RunMthomassen
3112	3402	RunMthomassen
3001	2768	RunMthomassen
2431	3326	RunMthomassen
4041	4269	RunMthomassen
1497	2190	RunMthomassen
2524	3697	RunMthomassen
4521	7385	RunMthomassen
3590	5136	RunMthomassen
2673	4371	RunMthomassen
3112	5881	RunMthomassen
32338	44029	RunPetra
30346	47471	RunPetra
20140	53321	RunPetra
31184	51347	RunPetra
14334	16872	RunPetra
11544	17253	RunPetra
14844	28398	RunPetra
18498	27205	RunPetra
20392	47165	RunPetra
25605	51841	RunPetra
44173	91770	RunPetra
37861	80666	RunPetra
16616	24878	RunPetra
14591	25087	RunPetra
28018	45876	RunPetra
21869	40761	RunPetra
9973	19843	RunPetra
55901	82986	RunPetra
41289	66649	RunPetra
38846	78342	RunPetra
35594	75023	RunPetra
40364	103340	RunPetra
29551	53658	RunPetra
69311	126516	RunPetra
39739	88939	RunPetra
32154	56780	RunPetra
28631	43776	RunPetra
19039	24126	RunPetra
23578	30320	RunPetra
37685	46906	RunPetra
18770	25198	RunPetra
20068	22297	RunPetra
18788	26175	RunPetra
26642	36848	RunPetra
24905	39169	RunPetra
10420	10709	RunPetra
338029	833916	RunCaen
226263	617517	RunCaen
199867	1395877	RunCaen
441510	1204974	RunCaen
171180	292485	RunCaen
206102	175228	RunCaen
77910	164624	RunCaen
214538	322233	RunCaen
332252	668476	RunCaen
292270	1034661	RunCaen
249878	883933	RunCaen
270177	978153	RunCaen
423378	805939	RunCaen
201937	257709	RunCaen
197099	405551	RunCaen
89905	272229	RunCaen
221391	532078	RunCaen
164346	324359	RunCaen
368099	1424115	RunCaen
364558	414577	RunCaen
619012	682780	RunKvist
463279	424200	RunKvist
820522	1042027	RunKvist
539742	478795	RunKvist
465295	728940	RunKvist
300104	324064	RunKvist
303729	590869	RunKvist
289163	209051	RunKvist
417961	623510	RunKvist
336471	207733	RunKvist
102174	87087	RunKvist
688677	849189	RunKvist
546461	516099	RunKvist
496257	394967	RunKvist
853017	975403	RunKvist
843231	523850	RunKvist
388073	385835	RunKvist
237609	122661	RunKvist
217806	378680	RunKvist
300657	196931	RunKvist
733460	1151042	RunKvist
629945	579397	RunKvist
41563	126334	RunRien
10949	21250	RunRien
83786	220005	RunRien
81613	151235	RunRien
24435	58650	RunRien
45867	80381	RunRien
72423	121518	RunRien
54322	83867	RunRien
59050	138867	RunRien
48953	93677	RunRien
64180	165077	RunRien
80464	219366	RunRien
83141	219069	RunRien
55459	73134	RunRien
43037	77904	RunRien
31895	60664	RunRien
55758	85851	RunRien
76462	122065	RunRien
54218	95436	RunRien
46709	61020	RunRien
68766	102425	RunRien
73164	191068	RunRien
75815	153985	RunRien
52609	123151	RunRien
62542	149016	RunRien
45792	147659	RunRien
62291	86709	RunRien
44864	92880	RunRien
54860	83989	RunRien
33854	64050	RunRien
59888	93325	RunRien
39234	97765	RunRien
1504	1132	RunDouglas
1363	1165	RunDouglas
2269	1587	RunDouglas
1536	712	RunDouglas
1510	1124	RunDouglas
1885	1357	RunDouglas
2194	1676	RunDouglas
1520	1046	RunDouglas
1415	929	RunDouglas
2344	1421	RunDouglas
2244	1128	RunDouglas
1846	1079	RunDouglas
1234	657	RunDouglas
1912	1354	RunDouglas
1813	1094	RunDouglas
1041	561	RunDouglas
1733	1223	RunDouglas
5496	3599	RunDouglas
1723	1064	RunDouglas
78447	64894	RunLogan
35197	46176	RunLogan
80699	77959	RunLogan
11570	10522	RunLogan
75035	72435	RunLogan
50188	48562	RunLogan
44439	30856	RunLogan
121239	97106	RunLogan
246727	407814	RunLogan
191125	228944	RunLogan
39406	50768	RunLogan
10018	13463	RunLogan
214517	222793	RunLogan
11579	9500	RunLogan
41083	42176	RunLogan
14882	16185	RunLogan
94654	106310	RunLogan
61981	50594	RunLogan
87086	86522	RunLogan
74881	103640	RunLogan
61324	75117	RunLogan
45775	75954	RunLogan
116964	156658	RunLogan
252451	299084	RunLogan
165437	203954	RunLogan
153019	146767	RunLogan
73081	60289	RunLogan
35596	32023	RunLogan
67812	47524	RunLogan
111071	76955	RunLogan
58331	45985	RunLogan
73102	68103	RunLogan
85378	71213	RunLogan
21721	16706	RunLogan
245565	230846	RunLogan
73482	48546	RunLogan
1569	2983	RunVohansen
1570	1726	RunVohansen
2123	2108	RunVohansen
1840	2474	RunVohansen
1074	1832	RunVohansen
1446	1592	RunVohansen
2933	4480	RunVohansen
2668	4412	RunVohansen
1143	1514	RunVohansen
2921	4059	RunVohansen
1142	2005	RunVohansen
1404	1859	RunVohansen
