chr	start	end	strand	NM	intron	Qbirk-00001-Tumor-RNA_A00559_0074.count	Qbirk-00002-Tumor-RNA_A00559_0074.count	Qbirk-00003-Tumor-RNA_A00559_0074.count	Qbirk-00004-Tumor-RNA_A00559_0074.count	Qbirk-00005-Tumor-RNA_A00559_0074.count	Qbirk00006-00006-Tumor-RNA_A00559_0074.count	Qbirk00007-00007-Tumor-RNA_A00559_0074.count	Qbirk00008-00008-Tumor-RNA_A00559_0074.count	Qbirk00009-00009-Tumor-RNA_A00559_0074.count	Qbirk00010-00010-Tumor-RNA_A00559_0074.count	Qbirk00011-00011-Tumor-RNA_A00559_0075.count	Qbirk00012-00012-Tumor-RNA_A00559_0075.count	Qbirk00013-00013-Tumor-RNA_A00559_0075.count	Qbirk00014-00014-Tumor-RNA_A00559_0075.count	Qbirk00015-00015-Tumor-RNA_A00559_0075.count	Qbirk00016-00016-Tumor-RNA_A00559_0075.count	Qbirk00017-00017-Tumor-RNA_A00559_0075.count	Qbirk00018-00018-Tumor-RNA_A00559_0075.count	Qbirk00019-00019-Tumor-RNA_A00559_0075.count
NC_000017.10	41228631	41234420	-	NM_007300	INTRON	35	86	17	25	34	45	19	55	38	35	42	53	67	22	53	19	96	64	35
NC_000013.10	32910890	32915258	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0
NC_000013.10	32937670	32949479	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000013.10	32937670	32941812	+	NM_000059	INTRON	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41215390	41215906	-	NR_027676	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
NC_000017.10	41228628	41231350	-	NR_027676	INTRON	1	1	0	0	3	3	4	0	0	2	0	1	3	4	4	0	0	1	0
NC_000017.10	41217936	41219624	-	NR_027676	INTRON	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41196934	41203767	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000013.10	32890423	32890558	+	NM_000059	INTRON	1	0	2	0	0	1	2	0	0	0	0	2	0	0	0	1	1	0	0
NC_000017.10	41250944	41273009	-	NR_027676	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900750	32903579	+	NM_000059	INTRON	32	110	60	48	54	63	42	44	41	34	65	60	95	53	47	37	91	125	45
NC_000013.10	32973224	33260707	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32932066	32945092	+	NM_000059	INTRON	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41276119	41277293	-	NR_027676	INTRON	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000017.10	41226538	41234420	-	NR_027676	INTRON	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	6	3
NC_000017.10	41273693	41276033	-	NR_027676	INTRON	0	1	1	0	0	0	0	0	2	0	0	0	0	1	2	5	6	3	2
NC_000013.10	32950928	32953886	+	NM_000059	INTRON	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
