chr	start	end	strand	NM	intron	Logan_sample_treated_S3.count	Logan_sample_untreated_S4.count	smp10_S10.count	smp11_S11.count	smp12_S12.count	smp13_S2.count	smp14_S3.count	smp15_S4.count	smp16_S5.count	smp17_S6.count	smp18_S7.count	smp19_S8.count	smp1_S1.count	smp20_S9.count	smp2_S2.count	smp3_S3.count	smp4_S4.count	smp5_S5.count	smp6_S6.count	smp7_S7.count	smp8_S8.count	smp9_S9.count
NC_000013.10	32945254	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NC_000017.10	41228631	41234420	-	NM_007300	INTRON	88	35	25	57	49	48	82	26	49	81	57	37	41	62	35	36	28	35	36	33	27	18
NC_000013.10	32910890	32915258	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	2	0	0	0
NC_000017.10	41232444	41294161	+	NR_027676	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32936679	32937315	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41215390	41215906	-	NR_027676	INTRON	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0
NC_000017.10	41228628	41231350	-	NR_027676	INTRON	1	0	0	3	1	0	0	0	2	0	3	1	0	4	0	1	0	1	1	0	1	2
NC_000017.10	41243666	41246760	-	NR_027676	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41217936	41219624	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890423	32890558	+	NM_000059	INTRON	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	1	0	1	0	1	2	2
NC_000013.10	32893462	32900378	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41212905	41373891	+	NR_027676	INTRON	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32900750	32903579	+	NM_000059	INTRON	15	9	31	42	39	44	54	25	55	71	75	49	56	68	51	32	35	48	36	24	21	46
NC_000013.10	32932066	32945092	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41276119	41277293	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
NC_000017.10	41226538	41234420	-	NR_027676	INTRON	0	0	0	0	0	0	1	0	2	3	2	6	0	1	1	1	2	0	0	1	0	0
NC_000013.10	32910890	32920963	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41273693	41276033	-	NR_027676	INTRON	0	0	1	1	3	0	2	0	0	2	3	1	0	0	0	0	0	0	1	0	1	1
NC_000013.10	32950928	32953886	+	NM_000059	INTRON	0	0	1	0	0	1	0	3	1	3	3	0	2	6	4	0	3	2	0	3	2	1
NC_000013.10	32945237	32949301	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000013.10	32893462	32900237	+	NM_000059	INTRON	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41243650	41247862	-	NR_027676	INTRON	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
