chr	start	end	strand	NM	intron	SAMPLE01_S12_L001_R.txt	SAMPLE02_S6_L001_R.txt	SAMPLE03_S8_L001_R.txt	SAMPLE04_S5_L001_R.txt	SAMPLE05_S2_L001_R.txt	SAMPLE06_S4_L001_R.txt	SAMPLE07_S1_L001_R.txt	SAMPLE08_S11_L001_R.txt	SAMPLE09_S16_L001_R.txt	SAMPLE10_S7_L001_R.txt	SAMPLE11_S15_L001_R.txt	SAMPLE12_S10_L001_R.txt	SAMPLE13_S20_L001_R.txt	SAMPLE14_S14_L001_R.txt	SAMPLE15_S18_L001_R.txt	SAMPLE16_S19_L001_R.txt	SAMPLE17_S17_L001_R.txt	SAMPLE18_S9_L001_R.txt	SAMPLE19_S13_L001_R.txt	SAMPLE20_S3_L001_R.txt
NC_000017.10	41228631	41234420	-	NM_007300	INTRON	52	43	30	39	50	27	44	128	55	71	30	44	47	46	81	67	49	44	93	56
NC_000013.10	32944694	32945092	+	NM_000059	INTRON	63	22	22	56	48	19	46	134	34	34	57	38	44	55	47	57	27	29	86	33
NC_000017.10	41201211	41209068	-	NM_007294	INTRON	1	1	0	5	0	0	0	2	0	2	2	5	0	1	0	1	0	0	0	0
NC_000013.10	32954050	32954143	+	NM_000059	INTRON	48	17	33	46	45	13	34	148	67	53	39	44	58	54	52	55	35	23	92	28
NC_000013.10	32945237	32949479	+	NM_000059	INTRON	0	5	0	0	1	6	3	1	3	4	3	7	2	2	1	0	0	0	13	0
NC_000017.10	41215390	41215906	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41228628	41231350	-	NM_007294	INTRON	0	0	2	0	1	0	0	2	0	0	0	0	0	1	2	0	0	4	3	4
NC_000017.10	41243666	41246760	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41199720	41201137	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NC_000013.10	32921033	32928997	+	NM_000059	INTRON	55	32	19	43	52	20	38	133	43	28	47	44	33	58	71	57	41	21	83	24
NC_000013.10	32905167	32918694	+	NM_000059	INTRON	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900750	32903579	+	NM_000059	INTRON	10	3	4	27	1	0	10	43	8	13	11	6	5	10	16	16	13	10	17	3
NC_000017.10	41267796	41273574	-	NM_007294	INTRON	4	1	0	0	2	0	1	1	3	0	0	0	1	0	0	0	2	0	2	0
NC_000017.10	41205086	41379724	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000017.10	41226538	41234420	-	NM_007298	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NC_000017.10	41273693	41276033	-	NM_007294	INTRON	2	0	0	0	0	0	1	0	0	0	3	0	0	0	3	7	0	0	0	0
NC_000017.10	41196990	41197678	-	NM_007294	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41246877	41251791	-	NM_007294	INTRON	29	20	7	7	15	4	17	99	15	7	0	8	10	0	10	29	9	3	16	2
NC_000017.10	41273697	41276033	-	NM_007294	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32949301	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32934707	33011230	-	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41234589	41242960	-	NM_007294	INTRON	3	10	7	6	5	7	2	16	4	3	4	3	11	6	6	6	8	2	9	3
NC_000013.10	32907524	32910039	+	NM_000059	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000017.10	41251894	41256138	-	NM_007294	INTRON	12	2	10	10	6	2	13	41	9	11	12	6	4	5	18	5	12	4	29	6
NC_000017.10	41243650	41247862	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
NC_000013.10	32944694	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	10	0	0	0	0	0
NC_000013.10	32970253	32971034	+	NM_000059	INTRON	6	0	0	2	1	0	0	3	0	3	0	0	4	2	2	1	2	1	1	2
NC_000013.10	32915333	32920963	+	NM_000059	INTRON	5	5	1	5	5	1	5	11	1	2	5	2	2	7	2	7	2	0	0	2
NC_000013.10	32907524	32920963	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32937670	32945092	+	NM_000059	INTRON	0	0	2	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0
NC_000017.10	41267796	41277293	-	NM_007294	INTRON	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
NC_000013.10	32903629	32905030	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
NC_000017.10	41264619	41267742	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0
NC_000017.10	41275480	41294874	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
NC_000017.10	41202622	41203079	-	NM_007294	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41223255	41226358	-	NM_007294	INTRON	0	0	1	0	0	0	0	2	0	2	1	0	0	1	0	0	0	0	0	0
NC_000017.10	41276132	41277287	-	NR_027676	INTRON	14	11	10	14	11	1	4	48	8	2	13	2	5	12	7	12	4	8	23	8
NC_000017.10	41228631	41242251	-	NM_007300	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NC_000013.10	32938232	32944538	+	NM_000059	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41209152	41222944	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
NC_000017.10	41252891	41445905	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41197826	41199659	-	NM_007294	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256278	41256884	-	NM_007294	INTRON	37	44	15	55	52	9	46	166	42	37	38	34	36	58	35	50	29	36	96	18
NC_000013.10	32957266	32968825	+	NM_000059	INTRON	1	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0
NC_000017.10	41215390	41219624	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	32950806	+	NM_000059	INTRON	70	48	37	51	58	33	54	138	52	40	57	30	25	45	61	101	53	35	107	53
NC_000013.10	32899321	32903579	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
