chr	start	end	strand	NM	intron	10_2X_S10_R.txt	1_2X_S1_R.txt	2_2X_S2_R.txt	3_2X_S3_R.txt	4_2X_S4_R.txt	5_2X_S5_R.txt	6_2X_S6_R.txt	7_2X_S7_R.txt	8_2X_S8_R.txt	9_2X_S9_R.txt
chr11	64117140	64117362	+	NM_032251	INTRON	0	1	0	0	0	0	0	3	1	0
chr6	10903196	10907774	+	NM_001040274	INTRON	3	2	0	0	0	0	0	0	0	0
chr20	37518308	37529223	+	NM_001172735	INTRON	4	8	0	5	3	2	6	0	9	0
chr3	39452278	39452365	+	NM_001304288	INTRON	0	0	0	0	0	0	0	0	0	1
chr1	41451791	41503033	-	NM_001905	INTRON	0	0	0	2	0	0	0	0	0	0
chr7	76943806	76950041	-	NM_017439	INTRON	14	28	0	22	35	25	21	14	27	10
chr7	22843253	22852788	-	NM_019059	INTRON	0	0	0	0	0	0	0	0	1	0
chr11	118888155	118888230	-	NM_001028	INTRON	2	0	0	0	0	0	0	0	0	0
chr12	22697113	22697253	-	NM_001286174	INTRON	22	34	0	42	44	21	29	38	26	47
chr9	71580886	71590579	-	NR_110647	INTRON	0	0	0	0	0	0	0	0	2	0
chr6	44214932	44220781	+	NM_001271969	INTRON	0	0	0	0	0	0	0	0	2	0
chr16	30770568	30771604	-	NM_000294	INTRON	0	0	0	0	1	0	0	0	0	0
chr20	24952212	24952848	-	NM_020531	INTRON	0	2	0	0	0	0	0	0	0	0
chr2	54697123	54753508	+	NM_003128	INTRON	0	0	0	0	0	0	0	1	2	4
chr14	74086520	74100425	-	NM_001037162	INTRON	0	0	0	0	0	0	0	0	2	0
chr12	113345024	113345477	+	NM_001032409	INTRON	0	1	0	0	2	0	0	0	0	0
chr20	23361913	23370582	-	NM_001283018	INTRON	0	0	0	1	0	0	1	0	0	1
chrX	48767273	48767688	-	NM_001282651	INTRON	0	0	0	0	0	1	0	0	0	0
chr11	122929512	122929889	-	NM_006597	INTRON	0	0	0	1	0	0	0	0	0	0
chrX	53128700	53197211	+	NR_110456	INTRON	0	0	0	0	0	0	0	0	0	4
chr14	39645353	39646615	+	NM_002687	INTRON	1	3	0	4	1	0	0	1	1	1
chr5	179267402	179267871	-	NM_001017987	INTRON	0	0	0	2	0	0	0	0	0	0
chr14	55215642	55218168	-	NM_001161576	INTRON	0	0	0	0	0	2	0	0	0	0
chr21	39644479	39668847	+	NM_001276436	INTRON	1	2	0	0	0	2	0	0	0	0
chr13	52593279	52602454	-	NM_001004127	INTRON	0	2	0	2	0	0	0	0	0	0
chr7	140390613	140392136	+	NM_052853	INTRON	0	0	0	0	0	1	0	0	0	0
chr7	156759969	156761780	+	NM_138400	INTRON	0	0	0	0	0	2	2	0	0	2
chr7	5410995	5434070	-	NM_001080495	INTRON	0	0	0	0	0	0	0	0	0	2
chr2	131906908	131907030	+	NM_001100623	INTRON	0	2	0	0	0	0	0	0	1	0
chr12	32884068	32884289	-	NM_001278463	INTRON	0	0	0	0	0	2	0	0	0	0
chr4	151837890	151842349	-	NM_001199282	INTRON	6	26	0	17	27	18	16	14	15	17
chr4	95206220	95210623	-	NM_001128429	INTRON	0	0	0	2	2	4	0	2	4	0
chr3	183898037	183898431	+	NM_001025205	INTRON	0	0	0	0	0	1	0	0	0	0
chr10	17702547	17722949	+	NM_001324284	INTRON	1	0	0	0	2	5	0	1	0	0
chr5	134712354	134724611	-	NM_001040158	INTRON	0	0	0	0	0	1	0	0	0	0
chr12	111801248	111803916	-	NM_001177996	INTRON	0	0	0	0	2	0	0	0	0	0
chr7	94039133	94039553	+	NM_000089	INTRON	0	0	0	0	0	0	0	0	2	0
chr1	46740389	46743492	+	NM_001142548	INTRON	0	0	0	0	1	0	0	0	0	0
chr17	73328878	73335667	-	NM_002086	INTRON	0	0	0	0	0	0	1	0	0	0
chr5	34922693	34922799	+	NM_018321	INTRON	416	691	4	604	680	557	408	409	623	542
chr17	79827833	79828074	-	NM_001185077	INTRON	0	2	0	0	0	0	0	0	0	0
chr1	19243536	19244855	-	NM_001136265	INTRON	84	133	2	157	234	207	261	132	196	124
chr5	64931870	64948327	+	NM_001093755	INTRON	0	0	0	0	0	0	2	0	0	0
chr2	32679010	32726779	+	NM_016252	INTRON	0	0	0	2	0	0	0	0	0	0
chr6	35420570	35423109	+	NM_021922	INTRON	0	0	0	0	2	2	0	0	0	0
chr19	54631287	54640687	-	NM_015629	INTRON	0	0	0	0	0	2	0	0	0	0
chr1	224175856	224180167	-	NR_132119	INTRON	0	10	0	6	0	0	4	0	0	2
chr11	62622938	62623051	-	NR_002565	INTRON	1	0	0	0	3	0	0	0	0	0
chr20	60758113	60769932	+	NM_015666	INTRON	0	0	0	0	0	0	0	0	4	0
chr6	167344606	167345964	-	NM_003730	INTRON	0	0	0	0	1	0	0	0	0	0
chr10	88220938	88311645	-	NM_001318328	INTRON	0	0	0	0	1	0	0	0	0	0
chr12	112518938	112528529	-	NM_024953	INTRON	11	2	0	5	3	2	1	7	2	2
chr20	44464332	44469086	+	NM_001042633	INTRON	0	0	0	0	0	0	0	0	1	0
chr5	118437701	118445849	+	NM_001290321	INTRON	0	2	0	3	6	0	0	0	2	0
chr2	27592786	27592972	-	NM_001318965	INTRON	2	2	0	1	3	3	9	6	7	0
chr15	31103818	31132945	-	NR_072991	INTRON	0	2	0	0	0	0	0	0	0	0
chr14	102548801	102549370	-	NM_001017963	INTRON	0	0	0	0	0	2	0	0	0	0
chr11	68338572	68343425	+	NM_001164160	INTRON	1	0	0	0	0	0	0	0	1	0
chr1	43315413	43316620	+	NM_001242739	INTRON	0	1	0	0	0	0	0	4	0	2
chr22	39419019	39427698	+	NM_152426	INTRON	1	1	0	0	1	2	1	0	0	0
chr6	155131228	155131287	+	NM_001286188	INTRON	0	0	0	0	0	0	0	0	0	2
chr1	11148255	11151070	-	NM_001001998	INTRON	0	0	0	0	0	2	2	2	0	0
chr19	58788786	58817453	+	NM_001320782	INTRON	0	0	0	0	1	0	0	0	0	0
chr5	141005331	141006159	-	NM_003883	INTRON	0	2	0	0	0	2	0	0	0	0
chr20	35153969	35199843	-	NM_001042486	INTRON	0	0	0	4	2	0	6	2	6	0
chr17	33310571	33316484	+	NM_002311	INTRON	0	0	0	2	2	3	0	1	0	0
chr14	65844319	65922338	+	NM_004480	INTRON	0	0	0	0	0	0	4	0	0	0
chr12	57011316	57023457	-	NM_001300905	INTRON	0	7	0	0	1	0	0	2	0	0
chrX	11134080	11135386	+	NM_001122608	INTRON	4	4	0	0	1	4	7	6	1	3
chr19	39457492	39466209	-	NM_024907	INTRON	0	0	0	0	0	0	0	0	2	0
chr7	4820943	4822134	+	NM_014855	INTRON	0	0	0	2	0	0	0	0	0	0
chr17	4647142	4647285	+	NM_001136046	INTRON	0	0	0	0	0	0	0	0	2	0
chr3	52623268	52643328	-	NM_018313	INTRON	1	0	0	2	1	2	0	1	2	0
chr10	81568588	81571868	-	NR_120611	INTRON	0	0	0	0	0	0	2	0	0	0
chr16	24960724	24964251	-	NM_001006634	INTRON	1	0	0	0	0	0	0	0	0	0
chr21	36259393	36421138	-	NM_001001890	INTRON	0	0	0	0	0	0	0	0	1	0
chr8	74907476	74917030	+	NM_015364	INTRON	0	0	0	0	2	0	0	0	0	0
chr3	48900092	48921429	-	NM_000387	INTRON	0	2	0	2	0	0	0	2	0	1
chr8	25297180	25298092	-	NM_017634	INTRON	323	501	5	397	507	301	493	319	668	381
chr1	236717039	236717897	+	NM_018072	INTRON	0	0	0	0	0	2	0	0	0	0
chr18	44683908	44691359	-	NM_016097	INTRON	0	2	0	0	0	0	0	0	0	0
chr1	245010008	245017520	-	NM_004501	INTRON	1	0	0	0	1	0	0	0	0	0
chr2	128703133	128707442	-	NM_001145928	INTRON	42	106	0	82	111	75	78	125	117	45
chr22	31302056	31302183	+	NM_001282741	INTRON	0	0	0	0	2	1	0	0	4	4
