chr	start	end	strand	NM	intron	RunCaen.txt	RunDouglas.txt	RunInge.txt	RunKvist.txt	RunLogan.txt	RunMthomassen.txt	RunPetra.txt	RunRachid.txt	RunRien.txt	RunVohansen.txt
NC_000017.10	41228631	41234420	-	NM_007300	INTRON	6838	56	24	1583	57	27	361	2734	1692	19
NC_000017.10	41243520	41247862	-	NM_007294	INTRON	49	0	2	0	0	0	0	2	0	0
NC_000017.10	41228628	41231350	-	NM_007294	INTRON	110	4	0	42	0	1	5	0	51	0
NC_000017.10	41199720	41201137	+	NM_007294	INTRON	1889	0	0	0	0	0	0	0	1767	0
NC_000017.10	41196934	41203767	-	NM_007294	INTRON	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32890423	32890558	+	NM_000059	INTRON	36	0	0	30	0	2	0	0	0	1
NC_000017.10	41276047	41320200	-	NM_007294	INTRON	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41231416	41234420	+	NM_007300	INTRON	37	0	0	0	0	0	0	106	140	0
NC_000017.10	41258550	41265236	-	NM_007294	INTRON	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32900750	32903579	+	NM_000059	INTRON	1026	3	10	328	0	21	228	0	357	37
NC_000017.10	41228628	41242960	-	NM_007294	INTRON	0	0	0	0	0	0	0	14	0	0
NC_000013.10	32973224	33260707	+	NM_000059	INTRON	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41276119	41277293	-	NM_007294	INTRON	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41271282	41276033	+	NM_007294	INTRON	27	0	0	0	0	0	0	0	0	0
NC_000017.10	41243049	41249260	+	NM_007294	INTRON	8	0	0	0	0	0	0	759	10	0
NC_000017.10	41247960	41249260	+	NM_007294	INTRON	0	0	0	0	0	0	0	10	0	0
NC_000017.10	41256973	41267742	+	NM_007294	INTRON	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41226538	41234420	-	NM_007298	INTRON	42	0	0	0	0	0	1	0	0	0
NC_000013.10	32893462	32899216	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	27	0
NC_000017.10	41273693	41276033	-	NR_027676	INTRON	62	0	0	5	0	1	3	0	15	5
NC_000013.10	32971126	33156728	+	NM_000059	INTRON	3	0	0	0	0	0	0	0	0	0
NC_000013.10	32950928	32953886	+	NM_000059	INTRON	29	0	24	0	0	2	0	0	0	0
NC_000017.10	41243049	41247862	+	NM_007294	INTRON	103	0	0	0	0	0	0	1158	69	0
NC_000013.10	32945237	33125858	-	NM_000059	INTRON	3	0	0	0	0	0	0	0	0	0
NC_000013.10	32907524	32968825	+	NM_000059	INTRON	14	0	0	0	0	0	0	0	0	0
NC_000013.10	32944694	33371164	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41245431	41869527	-	NM_007294	INTRON	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32893462	32900237	+	NM_000059	INTRON	0	0	0	0	0	0	3	0	0	0
NC_000017.10	41243650	41247862	-	NM_007294	INTRON	120	1	0	153	0	0	6	90	8	0
NC_000013.10	32915333	32920963	+	NM_000059	INTRON	311	2	4	222	0	1	24	0	3	12
NC_000013.10	32900750	32903579	-	NM_000059	INTRON	38	0	0	0	0	0	0	0	1383	0
NC_000017.10	41267796	41273574	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	29	0
NC_000017.10	41223253	41226347	+	NM_007294	INTRON	2	0	0	0	0	0	0	0	0	0
NC_000017.10	41264619	41267742	-	NM_007294	INTRON	0	0	0	0	0	0	1	0	0	0
NC_000017.10	41267796	41277293	+	NM_007294	INTRON	38	0	0	0	0	0	0	0	89	0
NC_000013.10	32938232	32944538	+	NM_000059	INTRON	44	0	0	0	0	0	0	0	0	0
NC_000017.10	41276132	41321779	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41215967	41231528	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	1	0
NC_000013.10	32931686	32931878	+	NM_000059	INTRON	5	0	0	0	0	0	0	0	0	0
NC_000013.10	32957266	32968825	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1
NC_000017.10	41256278	41256884	-	NR_027676	INTRON	3586	18	31	2637	213	30	372	0	2304	75
NC_000013.10	32954161	32964027	+	NM_000059	INTRON	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41234592	41249260	-	NM_007294	INTRON	0	0	0	0	0	0	0	19	0	0
NC_000017.10	41258550	41267742	-	NM_007297	INTRON	5346	45	27	2570	549	40	380	0	2999	84
NC_000017.10	41267800	41276033	-	NM_007294	INTRON	0	0	0	42	0	0	0	0	0	0
NC_000017.10	41258550	41277293	-	NM_007294	INTRON	0	0	0	26	0	0	0	0	0	0
NC_000017.10	41243650	41249260	-	NR_027676	INTRON	195	2	0	175	0	3	11	66	19	1
NC_000017.10	41201211	41201816	-	NM_007294	INTRON	0	0	1	0	0	0	0	0	0	0
NC_000017.10	41199720	41203079	-	NR_027676	INTRON	187	1	2	0	0	1	1	0	104	2
NC_000017.10	41251897	41256138	+	NM_007294	INTRON	295	0	0	0	0	0	0	0	1328	0
NC_000017.10	41243048	41246761	-	NM_007294	INTRON	0	0	0	0	0	0	0	18	0	0
NC_000017.10	41232343	41394676	-	NM_007294	INTRON	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32945237	33091351	+	NM_000059	INTRON	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41243048	41247862	+	NM_007294	INTRON	0	0	0	0	0	0	0	12	0	0
NC_000017.10	41243608	41249260	-	NM_007294	INTRON	0	0	0	16	0	0	0	0	0	0
NC_000017.10	41199727	41201136	-	NM_007294	INTRON	4	0	0	0	0	0	0	0	0	0
NC_000017.10	41232864	41246835	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	6	0
NC_000013.10	32890660	32893213	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32971181	32972360	+	NM_000059	INTRON	41	0	0	0	0	0	0	0	0	0
