ID	RunCaen.txt	RunDouglas.txt	RunInge.txt	RunKvist.txt	RunLogan.txt	RunMthomassen.txt	RunPetra.txt	RunRachid.txt	RunRien.txt	RunVohansen.txt
chr13_32360312_32954256_+	0	0	0	0	1	0	0	0	0	0
chr13_32506957_32937626_+	0	0	0	0	1	0	0	0	0	0
chr13_32647210_32954249_+	0	0	0	0	1	0	0	0	0	0
chr13_32653549_32890645_+	0	0	0	0	1	0	0	0	0	0
chr13_32654600_32905143_+	0	0	0	0	1	0	0	0	0	0
chr13_32662263_32915300_+	0	0	0	0	1	0	0	0	0	0
chr13_32676644_32954250_+	0	0	0	0	1.01944064370214	0	0	0	0	0
chr13_32677180_32905142_+	0	0	0	0	1	0	0	0	0	0
chr13_32682030_32915301_+	0	0	0	0	2.1227804181416	0	0	0	0	0
chr13_32682030_32950893_+	0	0	0	0	1.01944064370214	0	0	0	0	0
chr13_32682031_32954249_+	0	0	0	0	1	0	0	0	0	0
chr13_32686229_32900397_+	0	0	0	0	1.01944064370214	0	0	0	0	0
chr13_32690230_32918765_+	0	0	0	0	1	0	0	0	0	0
chr13_32697338_32945215_+	0	0	0	0	1	0	0	0	0	0
chr13_32700601_32930722_+	0	0	0	0	1.01944064370214	0	0	0	0	0
chr13_32701911_32915300_+	0	0	0	0	1	0	0	0	0	0
chr13_32717192_32915300_+	0	0	0	0	1	0	0	0	0	0
chr13_32724116_32932040_+	0	0	0	0	1.01944064370214	0	0	0	0	0
chr13_32727036_32915300_+	0	0	0	0	1.01944064370214	0	0	0	0	0
chr13_32727331_32899290_+	0	0	0	0	1	0	0	0	0	0
chr13_32733342_32954249_+	0	0	0	0	1	0	0	0	0	0
chr13_32739293_32950896_+	0	0	0	0	1.01944064370214	0	0	0	0	0
chr13_32749246_32945215_+	0	0	0	0	1.09698031462205	0	0	0	0	0
chr13_32749248_32945216_+	0	0	0	0	1	0	0	0	0	0
chr13_32749518_32905143_+	0	0	0	0	1.01944064370214	0	0	0	0	0
chr13_32750749_32954251_+	0	0	0	0	1	0	0	0	0	0
chr13_32753619_32915300_+	0	0	0	0	1.11717716166652	0	0	0	0	0
chr13_32753619_32954247_+	0	0	0	0	1	0	0	0	0	0
chr13_32754780_32903603_+	0	0	0	0	1.01944064370214	0	0	0	0	0
chr13_32755993_32954248_+	0	0	0	0	1.01944064370214	0	0	0	0	0
