chr	start	end	strand	NM	intron	R9_01.txt	R9_02.txt	R9_03.txt	R9_04.txt	R9_05.txt	R9_06.txt	R9_07.txt	R9_08.txt	R9_09.txt	R9_10.txt	R9_11.txt	R9_12.txt	R9_13.txt	R9_14.txt	R9_15.txt	R9_16.txt	R9_17.txt	R9_18.txt	R9_19.txt	R9_20.txt
NC_000017.10	41185156	41197743	-	NM_007294	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900393	32913059	+	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32954264	32970664	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0
NC_000017.10	41228624	41238451	+	NM_007294	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32913226	33040111	+	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32937670	32949479	+	NM_000059	INTRON	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	24	0	0	0	0
NC_000013.10	32910590	33170316	+	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41251853	41431054	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890423	32890558	+	NM_000059	INTRON	61	49	0	14	0	31	0	80	2	181	72	39	0	15	0	60	90	66	36	183
NC_000013.10	32940962	32950662	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000017.10	41256266	41332020	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32907524	32915258	+	NM_000059	INTRON	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900750	32903579	+	NM_000059	INTRON	2967	10613	1249	7390	2684	6442	2088	4584	1226	15700	3638	10318	846	3170	3484	8671	5503	9893	1026	1987
NC_000013.10	32932066	32945092	+	NM_000059	INTRON	0	70	0	0	48	99	0	57	46	23	0	0	46	0	69	178	9	165	0	361
NC_000017.10	41215942	41363076	-	NM_007294	INTRON	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1	0	0	0
NC_000013.10	32893462	32972298	+	NM_000059	INTRON	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41226538	41234420	-	NM_007294	INTRON	0	261	0	68	28	216	0	95	6	348	26	121	99	236	7	359	85	345	42	236
NC_000017.10	41215390	41215905	+	NM_007294	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256148	41343825	+	NM_007294	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41243024	41535887	-	NM_007294	INTRON	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
NC_000017.10	41243520	41246760	+	NM_007294	INTRON	0	13	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	2
NC_000013.10	32953721	32969057	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000013.10	32903627	32915256	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32972357	33277768	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41276134	41277296	-	NR_027676	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32929135	33155549	+	NM_000059	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41243650	41247862	-	NM_007294	INTRON	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	2170
NC_000013.10	32937412	33026918	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000017.10	41246877	41247863	+	NM_007294	INTRON	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NC_000017.10	41223253	41226347	+	NM_007294	INTRON	0	0	0	4	1	1	0	1	0	0	0	0	1	0	0	2	0	0	2	0
NC_000013.10	32919338	32972702	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000017.10	41243517	41460494	-	NM_007294	INTRON	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41197819	41201137	+	NM_007294	INTRON	0	20	0	24	2295	6504	0	0	18	0	18	0	14	0	0	40	0	0	0	0
NC_000013.10	32931686	32931878	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	5	0
NC_000017.10	41209152	41222944	-	NM_007294	INTRON	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
NC_000017.10	41197826	41199659	-	NM_007294	INTRON	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32957266	32968825	+	NM_000059	INTRON	0	125	87	934	28	35	64	360	0	147	17	22	314	2127	140	1106	20	6	0	17
NC_000017.10	41256278	41256884	-	NM_007294	INTRON	9130	12719	4491	10429	5763	9206	6479	6700	1657	6030	6260	9285	1472	5579	6511	10799	5715	7057	3586	12120
NC_000013.10	32950928	32953464	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
NC_000013.10	32945206	33219870	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000017.10	41197808	41199659	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
NC_000013.10	32953462	33181235	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
NC_000017.10	41234592	41249260	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0
NC_000017.10	41267800	41276033	-	NM_007294	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41243650	41249260	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	1144
NC_000013.10	32910890	32915272	+	NM_000059	INTRON	0	0	0	0	8	0	293	0	0	6	0	0	0	0	0	0	10	0	0	0
NC_000013.10	32968942	33495867	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000017.10	41243650	41246768	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	55	0	0	0	0	0	0
NC_000013.10	32907524	32918694	+	NM_000059	INTRON	103	49	0	0	0	109	0	98	0	125	23	58	28	65	39	32	136	46	0	0
NC_000013.10	32906451	32911946	+	NM_000059	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32899267	33063590	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41215388	41215905	+	NM_007294	INTRON	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41256973	41264503	+	NM_007294	INTRON	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32945237	33091351	+	NM_000059	INTRON	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41215965	41219624	+	NM_007294	INTRON	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32910449	32923554	+	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41261581	41267741	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58
NC_000013.10	32971181	32972364	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
NC_000013.10	32971181	32972360	+	NM_000059	INTRON	0	201	158	97	32	59	0	92	68	117	105	825	51	14	75	360	60	51	41	438
NC_000013.10	32893340	33038176	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41226461	41360416	+	NM_007294	INTRON	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41209152	41210349	+	NM_007294	INTRON	0	68	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41267798	41271140	-	NM_007294	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
NC_000017.10	41234589	41242960	+	NM_007294	INTRON	1359	1761	286	1105	632	1249	0	84	249	386	171	216	17	78	4	234	501	588	48	51
NC_000017.10	41256903	41258472	-	NM_007294	INTRON	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	83
NC_000013.10	32936830	32937315	+	NM_000059	INTRON	12626	54667	11074	31041	7950	28624	6460	20144	8150	60443	18378	47550	13103	41867	12103	52466	24033	41151	13630	29715
NC_000017.10	41215471	41286904	+	NM_007294	INTRON	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32930746	32931878	+	NM_000059	INTRON	8513	29520	5876	17756	8608	20531	6694	15824	4920	34297	10140	23786	6825	23212	9471	35104	15333	29362	5853	11587
NC_000013.10	32912042	32915144	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	70	0	56	0	0	0	0	15	0	0	0	0
NC_000017.10	41243666	41247862	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	1834
NC_000013.10	32971181	32972351	+	NM_000059	INTRON	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32930746	32931617	+	NM_000059	INTRON	0	58	0	62	0	37	0	0	0	0	19	60	0	28	0	10	3	3	5	0
NC_000017.10	41199684	41368859	+	NM_007294	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32950974	32953453	+	NM_000059	INTRON	0	140	0	118	13	222	33	59	0	14	0	62	0	0	4	653	47	0	0	0
NC_000013.10	32906035	32953922	-	NM_000059	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32950820	33096308	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000017.10	41228631	41234421	-	NM_007300	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000017.10	41223087	41395386	-	NM_007294	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32929425	32930648	+	NM_000059	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41215388	41219623	+	NM_007294	INTRON	0	0	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890664	32899212	-	NM_000059	INTRON	0	122	0	58	2	30	0	0	0	19	19	0	0	3	0	6	8	14	0	0
NC_000013.10	32915333	32918697	-	NM_000059	INTRON	20	45	0	0	43	12	0	16	0	0	0	0	0	0	0	0	0	3	0	0
NC_000017.10	41215968	41234420	-	NM_007294	INTRON	0	22	0	0	0	14	0	0	0	45	0	0	44	0	0	2	35	0	0	14
NC_000013.10	32954280	32957174	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32903629	32906408	+	NM_000059	INTRON	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32931977	33069469	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NC_000017.10	41276132	41276753	-	NM_007294	INTRON	1209	1958	447	1179	1785	1919	1114	1007	203	1108	1198	1480	216	641	1158	1600	1233	1380	489	1390
NC_000013.10	32969070	32971062	+	NM_000059	INTRON	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0
NC_000017.10	41276132	41277294	+	NR_027676	INTRON	6	2	6	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NC_000017.10	41243049	41243451	-	NM_007294	INTRON	10834	12002	5783	10924	8130	12071	8459	8268	2532	5782	6107	9327	2692	7765	6844	11421	8433	9911	3318	6916
NC_000017.10	41226538	41228504	-	NM_007294	INTRON	24394	26817	12789	26795	15820	23966	14938	17713	7083	16307	16219	27105	8124	22552	13960	29357	18128	20521	16183	41288
NC_000013.10	32929425	32945092	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NC_000017.10	41276132	41277198	-	NM_007294	INTRON	1206	907	498	1065	361	850	1112	663	61	329	345	674	128	425	535	1324	572	447	212	903
NC_000013.10	32945237	32975589	-	NM_000059	INTRON	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NC_000017.10	41226410	41533881	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32900750	33060237	+	NM_000059	INTRON	0	1	0	0	1	0	0	0	0	6	0	0	0	0	0	0	1	1	0	0
NC_000013.10	32954264	32964663	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	17	0	0	0	0
NC_000013.10	32930571	33069054	+	NM_000059	INTRON	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
NC_000013.10	32895043	32915221	+	NM_000059	INTRON	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41216023	41219624	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000013.10	32972399	33082819	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
