Conca	P_RunCaen.txt	P_RunDouglas.txt	P_RunInge.txt	P_RunKvist.txt	P_RunLogan.txt	P_RunMthomassen.txt	P_RunPetra.txt	P_RunRachid.txt	P_RunRien.txt	P_RunVohansen.txt
NC_000017.10_41197819_41199654	0.161278498643794	NA	NA	NA	NA	NA	NA	NA	NA	13.8461538461538
NC_000017.10_41197819_41203079	0.0108293475318112	NA	8	NA	NA	NA	NA	NA	NA	NA
NC_000017.10_41199720_41203079	1.32987234647797	1.6260162601626	8.69565217391304	NA	NA	2.56410256410256	0.589970501474926	NA	10.5906313645621	3.03030303030303
NC_000017.10_41201211_41201798	0.528960592435863	NA	NA	0.264550264550265	NA	NA	NA	NA	NA	NA
NC_000017.10_41201211_41202078	0.264480296217932	2.5	24	NA	2.17391304347826	NA	0.45045045045045	NA	NA	NA
NC_000017.10_41201211_41209068	1.30535627595879	NA	2.7027027027027	1.06457487043003	NA	1.9047619047619	NA	NA	NA	NA
NC_000017.10_41202207_41203079	0.0705280789914485	NA	16	NA	NA	NA	0.45045045045045	NA	NA	NA
NC_000017.10_41209152_41210240	NA	NA	NA	0.23906287353574	NA	NA	0.187265917602996	NA	NA	NA
NC_000017.10_41210383_41215349	0.0567214974475326	NA	NA	0.143437724121444	NA	NA	NA	NA	NA	NA
NC_000017.10_41215390_41219624	NA	NA	5.33333333333333	0.0202061022428773	NA	NA	NA	NA	NA	NA
NC_000017.10_41215968_41222944	0.4514100223169	1.11111111111111	NA	0.687347381749118	NA	NA	1.21951219512195	NA	1.11482720178372	NA
NC_000017.10_41223255_41226358	0.500409425893913	NA	NA	NA	NA	NA	0.411522633744856	NA	NA	NA
NC_000017.10_41223255_41228504	0.279679105026864	NA	NA	NA	NA	NA	NA	NA	0.470495981180161	NA
NC_000017.10_41226538_41234420	0.364884236132227	NA	NA	NA	NA	NA	0.240384615384615	NA	NA	NA
NC_000017.10_41226538_41242960	0.831236663588012	NA	NA	NA	NA	NA	0.547945205479452	NA	NA	NA
NC_000017.10_41226930_41228504	0.00617932398195637	NA	2.4390243902439	NA	NA	NA	NA	NA	NA	NA
NC_000017.10_41228628_41234420	38.4907867797602	26.7857142857143	37.5	44.0303221730891	NA	55.5555555555556	32.409972299169	41.5508412582297	27.7777777777778	100
NC_000017.10_41228631_41231350	1.49166422930681	5.35714285714286	12.5	4.99052432090966	NA	14.8148148148148	1.66204986149584	3.65764447695684	4.55082742316785	10.5263157894737
NC_000017.10_41228631_41242251	NA	3.50877192982456	NA	NA	NA	NA	NA	1.2318696602424	NA	NA
NC_000017.10_41228631_41242960	NA	NA	NA	0.719794344473008	NA	NA	0.641025641025641	3.34749581563023	NA	NA
NC_000017.10_41231416_41234420	2.93945598128108	7.14285714285714	33.3333333333333	2.77953253316488	NA	7.40740740740741	3.8781163434903	4.46232626188734	9.1016548463357	5.26315789473684
NC_000017.10_41234589_41242960	8.53425638577226	5.26315789473684	19.047619047619	8.1924577373212	NA	6.81818181818182	11.0266159695817	8.90125173852573	12.87284144427	14
NC_000017.10_41234592_41251791	NA	6.13496932515337	9.00900900900901	NA	NA	NA	NA	NA	NA	NA
NC_000017.10_41243049_41246760	8.10729355033152	4.76190476190476	5.55555555555556	6.5052950075643	NA	11.4285714285714	5.3475935828877	94.6296296296296	7.84313725490196	8.16326530612245
NC_000017.10_41243049_41246768	NA	NA	NA	NA	NA	NA	NA	0.37037037037037	NA	2.04081632653061
NC_000017.10_41243049_41247862	10.259797446059	3.17460317460317	71.4285714285714	17.4642635177129	NA	15.3846153846154	8.27886710239651	270.162297128589	0.112994350282486	11.3636363636364
NC_000017.10_41243049_41249260	3.00690108445613	14.8148148148148	NA	5.25033229951263	NA	12.3287671232877	5.07152145643693	105.283018867925	14.4644491913335	NA
NC_000017.10_41243049_41251791	69.6783881867101	15.0943396226415	28.9855072463768	23.031880286272	NA	41.2371134020619	14.2188961646398	149.609578344612	28.6810745303979	13.5922330097087
NC_000017.10_41243520_41247862	4.00326797385621	NA	20	NA	NA	NA	NA	0.766283524904214	NA	NA
NC_000017.10_41243650_41247862	9.80392156862745	4.76190476190476	NA	12.3886639676113	NA	NA	2.20588235294118	34.4827586206897	0.838574423480084	NA
NC_000017.10_41243650_41249260	15.9313725490196	9.52380952380952	NA	14.17004048583	NA	17.6470588235294	4.04411764705882	25.2873563218391	1.9916142557652	2.56410256410256
NC_000017.10_41243650_41251791	1.47058823529412	NA	NA	3.7246963562753	NA	5.88235294117647	NA	10.3448275862069	0.628930817610063	NA
NC_000017.10_41243666_41247862	4.33006535947712	19.047619047619	NA	0.48582995951417	NA	NA	NA	18.007662835249	NA	NA
NC_000017.10_41243666_41249260	10.8660130718954	NA	NA	3.56275303643725	NA	5.88235294117647	2.57352941176471	53.639846743295	1.15303983228512	NA
NC_000017.10_41244156_41247862	2.85947712418301	NA	NA	NA	NA	NA	0.735294117647059	NA	0.524109014675052	2.56410256410256
NC_000017.10_41246877_41251791	27.2843997432057	9.375	NA	17.5030012004802	144.959443800695	24.1935483870968	15.9863945578231	12.992125984252	33.9540507859734	26.7515923566879
NC_000017.10_41247939_41251791	NA	NA	9.75609756097561	NA	NA	8.88888888888889	0.327868852459016	0.723446234791187	NA	NA
NC_000017.10_41247960_41249260	0.841968911917098	NA	NA	NA	NA	NA	NA	1.51630022744503	NA	NA
NC_000017.10_41249306_41249509	0.20997375328084	NA	NA	0.673194614443084	NA	NA	0.333333333333333	0.813008130081301	NA	NA
NC_000017.10_41249606_41251791	NA	NA	NA	1.468788249694	NA	NA	0.666666666666667	0.40650406504065	NA	NA
NC_000017.10_41251894_41256138	29.0214797136038	17.6470588235294	72.2222222222222	38.9542483660131	NA	14.2857142857143	27.683615819209	NA	33.2673267326733	16.1290322580645
NC_000017.10_41256278_41256893	0.223089793641941	NA	NA	NA	NA	NA	0.268817204301075	NA	NA	NA
NC_000017.10_41256973_41258494	3.49173011289052	36	80	14.9670218163369	NA	15.3846153846154	6.99300699300699	NA	4.09596255119953	6.12244897959184
NC_000017.10_41256973_41267742	4.52211906062261	NA	NA	6.82669015635323	NA	3.03030303030303	0.741656365883807	NA	0.637213254035684	4.51127819548872
NC_000017.10_41256973_41276033	0.0577774924568274	2.88461538461538	NA	NA	NA	NA	NA	NA	NA	NA
NC_000017.10_41258549_41267742	0.0748222970445193	NA	NA	NA	NA	NA	NA	NA	0.0333444481493831	NA
NC_000017.10_41258550_41262481	2.56266367377478	NA	NA	1.86770428015564	NA	NA	0.789473684210526	NA	2.83427809269757	2.38095238095238
NC_000017.10_41258550_41276033	2.48130523453433	NA	NA	0.249584026622296	NA	NA	0.525624178712221	NA	2.38741182854042	NA
NC_000017.10_41262597_41267742	1.38421249532361	NA	NA	1.40077821011673	NA	NA	0.526315789473684	NA	2.73424474824942	8.33333333333333
NC_000017.10_41267796_41268453	0.545001557147306	NA	NA	0.625558534405719	NA	NA	0.26246719160105	NA	NA	NA
NC_000017.10_41267796_41271137	NA	NA	NA	0.0893655049151028	NA	NA	0.26246719160105	NA	NA	6.09756097560976
NC_000017.10_41267796_41273574	1.66614761756462	NA	6.25	0.759606791778374	10.7456140350877	3.33333333333333	1.31233595800525	NA	0.711462450592885	3.65853658536585
NC_000017.10_41267796_41277287	3.94533264569366	9.52380952380952	NA	0.995024875621891	NA	5.12820512820513	0.932400932400932	NA	NA	NA
NC_000017.10_41267796_41277293	10.5697151424288	NA	NA	NA	NA	NA	2.08333333333333	NA	NA	NA
NC_000017.10_41273693_41276033	0.9654313298038	NA	NA	0.223413762287757	NA	3.33333333333333	0.78740157480315	NA	0.592885375494071	6.09756097560976
NC_000017.10_41276132_41276412	0.599700149925038	NA	NA	3.44827586206897	NA	NA	NA	NA	NA	NA
NC_000017.10_41276132_41276753	36.6566716641679	100	NA	70.1149425287356	NA	44.4444444444444	39.5833333333333	NA	1.1611030478955	23.0769230769231
NC_000017.10_41276132_41277198	15.8920539730135	NA	NA	33.9080459770115	NA	33.3333333333333	29.1666666666667	NA	0.290275761973875	19.2307692307692
NC_000017.10_41276132_41277293	118.515742128936	100	NA	168.965517241379	164.15770609319	44.4444444444444	85.4166666666667	NA	124.383164005806	88.4615384615385
NC_000013.10_32890199_32890558	3.97757608115323	NA	NA	4.7244094488189	NA	NA	1.18110236220472	NA	NA	2.32558139534884
NC_000013.10_32890294_32890558	NA	NA	NA	7.8740157480315	NA	NA	0.393700787401575	NA	NA	NA
NC_000013.10_32890423_32890558	0.961025093432995	NA	NA	23.6220472440945	NA	8	NA	NA	NA	2.32558139534884
NC_000013.10_32890528_32893213	0.587293112653497	NA	NA	7.08661417322835	NA	NA	0.393700787401575	NA	NA	NA
NC_000013.10_32890664_32891918	0.167000668002672	NA	11.1111111111111	NA	NA	NA	NA	NA	0.173335259280659	NA
NC_000013.10_32890664_32899212	2.57024613373993	NA	NA	NA	NA	30	0.347222222222222	NA	NA	NA
NC_000013.10_32890664_32903579	NA	NA	NA	NA	NA	4.51127819548872	0.74673304293715	NA	NA	NA
NC_000013.10_32893462_32899216	1.0644959298685	NA	NA	NA	NA	NA	0.836820083682008	NA	NA	NA
NC_000013.10_32899321_32900378	1.83140317802316	NA	NA	NA	NA	NA	2.07972270363951	NA	3.3031852143138	NA
NC_000013.10_32900029_32900237	NA	NA	66.6666666666667	3.1055900621118	NA	NA	NA	NA	NA	NA
NC_000013.10_32903629_32910401	NA	NA	115.384615384615	NA	NA	NA	0.429184549356223	NA	NA	12.1212121212121
NC_000013.10_32907524_32910039	1.19504908237303	NA	NA	NA	NA	22.2222222222222	0.571428571428571	NA	1.37299771167048	20
NC_000013.10_32915333_32920963	7.72958866658382	9.30232558139535	34.7826086956522	14.3642834034293	NA	3.63636363636364	10.5960264900662	NA	0.394996708360764	26.9662921348315
NC_000013.10_32930746_32931617	0.085426277122843	NA	11.1111111111111	NA	NA	NA	NA	NA	NA	NA
NC_000013.10_32930746_32931922	0.170852554245686	NA	11.1111111111111	NA	NA	2.63157894736842	NA	NA	NA	NA
NC_000013.10_32932066_32944538	0.469983707231483	NA	3.2258064516129	NA	NA	NA	NA	NA	NA	NA
NC_000013.10_32936830_32944538	NA	NA	15.8730158730159	NA	NA	2.66666666666667	NA	NA	NA	NA
NC_000013.10_32937670_32945092	0.824321258413371	NA	NA	NA	NA	NA	0.36231884057971	NA	NA	NA
NC_000013.10_32938153_32944538	NA	NA	NA	3.45982142857143	NA	3.03030303030303	NA	NA	NA	NA
NC_000013.10_32939660_32944538	0.132193531329867	NA	6.25	NA	NA	3.03030303030303	NA	NA	NA	NA
NC_000013.10_32945237_32946391	NA	NA	36.3636363636364	NA	NA	NA	0.308641975308642	NA	NA	NA
NC_000013.10_32945237_32949098	NA	NA	45.4545454545455	NA	NA	2.32558139534884	NA	NA	NA	NA
NC_000013.10_32945237_32949450	1.52613181004348	NA	NA	0.629673356946084	NA	2.32558139534884	NA	NA	NA	NA
NC_000013.10_32945237_32949479	1.86716685139398	NA	118.181818181818	1.25934671389217	NA	18.6046511627907	0.925925925925926	NA	1.41072148327287	9.09090909090909
NC_000013.10_32949543_32950806	11.9703299514025	NA	272.727272727273	5.43093270365998	48.0519480519481	34.8837209302326	2.77777777777778	NA	0.0403063280935107	9.09090909090909
NC_000013.10_32949840_32950806	0.537130190127036	NA	NA	1.45611963793782	NA	NA	NA	NA	NA	NA
NC_000013.10_32950928_32953886	0.238036608388738	NA	200	NA	NA	5.33333333333333	NA	NA	NA	NA
NC_000013.10_32953652_32953937	0.498952200379204	NA	25	NA	NA	3.125	0.29585798816568	NA	NA	NA
NC_000013.10_32954282_32958029	2.27111984282908	NA	NA	2.72130121989365	NA	2.38095238095238	1.46520146520147	NA	NA	NA
NC_000013.10_32958168_32968825	2.16110019646365	NA	NA	4.4729433844229	NA	4.76190476190476	2.56410256410256	NA	NA	NA
NC_000013.10_32969070_32970127	0.219359470346588	2.08333333333333	NA	1.74005681818182	NA	9.09090909090909	4.10958904109589	NA	2.2667829119442	NA
NC_000013.10_32969070_32972298	0.181012538889413	NA	3.2	NA	NA	NA	NA	NA	NA	NA
NC_000013.10_32970253_32971034	0.753798907191002	4.16666666666667	NA	1.24289772727273	NA	3.03030303030303	0.45662100456621	NA	2.5283347863993	6.25
