chr	start	end	strand	NM	intron	030060289t_BRCA2c426_R.txt	030060289u_BRCA2c426_R.txt	071110075t_BRCA2c426neg_R.txt	071110075u_BRCA2c426neg_R.txt	071110082t_BRCA2c426neg_R.txt	071110082u_BRCA2c426neg_R.txt	071110085t_BRCA2c426neg_R.txt	071110085u_BRCA2c426neg_R.txt	071110097t_BRCA2c426neg_R.txt	071110097u_BRCA2c426neg_R.txt	071110134t_BRCA2c426neg_R.txt	071110134u_BRCA2c426neg_R.txt	081110021t_BRCA2c426neg_R.txt	081110021u_BRCA2c426neg_R.txt	081110059t_BRCA2c426neg_R.txt	081110059u_BRCA2c426neg_R.txt	081110064t_BRCA2c426neg_R.txt	081110064u_BRCA2c426neg_R.txt	081110065t_BRCA2c426neg_R.txt	081110065u_BRCA2c426neg_R.txt	081110066t_BRCA2c426neg_R.txt	081110066u_BRCA2c426neg_R.txt
NC_000013.10	32903629	32905128	-	NM_000059	INTRON	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32905135	33044311	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32903629	32905132	-	NM_000059	INTRON	0	0	40	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
NC_000013.10	32900419	32900635	+	NM_000059	INTRON	3149	3207	3293	7	4942	5682	5129	4655	4660	5578	5532	6086	5340	4480	3732	3718	4013	3449	3241	6234	2788	3614
NC_000013.10	32905142	32935990	-	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NC_000013.10	32900282	32903579	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
NC_000013.10	32905074	33023758	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NC_000013.10	32900750	32903562	-	NM_000059	INTRON	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900282	32903579	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
NC_000013.10	32899321	32900657	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32905069	33194428	+	NM_000059	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900029	32900237	-	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32903604	33081120	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NC_000013.10	32905095	33121221	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000013.10	32900029	32900237	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32900750	32903579	+	NM_000059	INTRON	3827	3751	3777	15	5430	6438	5676	5295	5279	6164	6217	6977	5880	5041	4265	4225	4434	3969	3437	6989	3225	4076
