chr	start	end	strand	NM	intron	001_CZMEL1_010080483_RNA_NXrun2_R.txt	001_CZMEL1_030060289_RNA_NXrun2_R.txt	001_CZMEL1_050020176_RNA_NXrun2_R.txt	001_CZMEL1_060090425_RNA_NXrun2_R.txt	001_CZMEL1_060090915_RNA_NXrun2_R.txt	001_CZMEL1_07III0075_RNA_NXrun2_R.txt	001_CZMEL1_07III0082_RNA_NXrun2_R.txt	001_CZMEL1_07III0085_RNA_NXrun2_R.txt	001_CZMEL1_07III0097_RNA_NXrun2_R.txt	001_CZMEL1_07III0134_RNA_NXrun2_R.txt	001_CZMEL1_08III0021_RNA_NXrun2_R.txt	001_CZMEL1_08III0059_RNA_NXrun2_R.txt	001_CZMEL1_08III0064_RNA_NXrun2_R.txt	001_CZMEL1_08III0065_RNA_NXrun2_R.txt	001_CZMEL1_08III0066_RNA_NXrun2_R.txt	001_CZMEL1_990033193_RNA_NXrun2_R.txt	001_CZMEL1_990050355_RNA_NXrun2_R.txt	001_CZMEL1_990061923_RNA_NXrun2_R.txt	001_CZMEL1_T010080483_RNA_NXrun2_R.txt	001_CZMEL1_T030060289_RNA_NXrun2_R.txt	001_CZMEL1_T050020176_RNA_NXrun2_R.txt	001_CZMEL1_T060090425_RNA_NXrun2_R.txt	001_CZMEL1_T060090915_RNA_NXrun2_R.txt	001_CZMEL1_T07III0075_RNA_NXrun2_R.txt	001_CZMEL1_T07III0082_RNA_NXrun2_R.txt	001_CZMEL1_T07III0085_RNA_NXrun2_R.txt	001_CZMEL1_T07III0097_RNA_NXrun2_R.txt	001_CZMEL1_T07III0134_RNA_NXrun2_R.txt	001_CZMEL1_T08III0021_RNA_NXrun2_R.txt	001_CZMEL1_T08III0059_RNA_NXrun2_R.txt	001_CZMEL1_T08III0064_RNA_NXrun2_R.txt	001_CZMEL1_T08III0065_RNA_NXrun2_R.txt	001_CZMEL1_T08III0066_RNA_NXrun2_R.txt	001_CZMEL1_T990033193_RNA_NXrun2_R.txt	001_CZMEL1_T990050355_RNA_NXrun2_R.txt	001_CZMEL1_T990061923_RNA_NXrun2_R.txt
NC_000013.10	32945254	32950806	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
NC_000017.10	41244735	41244759	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32937670	32941812	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NC_000017.10	41219632	41245568	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NC_000017.10	41247929	41249280	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32937670	32949479	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41242975	41243864	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32953476	32953520	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NC_000017.10	41197724	41197790	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32890423	32890558	+	NM_000059	INTRON	1	0	4	1	0	0	3	1	0	0	1	2	0	1	0	7	0	4	1	1	8	5	6	0	3	1	9	16	8	2	1	1	4	3	6	9
