chr	start	end	strand	NM	intron	SAMPLE01_S12_L001_R.txt	SAMPLE02_S6_L001_R.txt	SAMPLE03_S8_L001_R.txt	SAMPLE04_S5_L001_R.txt	SAMPLE05_S2_L001_R.txt	SAMPLE06_S4_L001_R.txt	SAMPLE07_S1_L001_R.txt	SAMPLE08_S11_L001_R.txt	SAMPLE09_S16_L001_R.txt	SAMPLE10_S7_L001_R.txt	SAMPLE11_S15_L001_R.txt	SAMPLE12_S10_L001_R.txt	SAMPLE13_S20_L001_R.txt	SAMPLE14_S14_L001_R.txt	SAMPLE15_S18_L001_R.txt	SAMPLE16_S19_L001_R.txt	SAMPLE17_S17_L001_R.txt	SAMPLE18_S9_L001_R.txt	SAMPLE19_S13_L001_R.txt	SAMPLE20_S3_L001_R.txt
chr11	64117140	64117362	+	NM_032251	INTRON	0	1	0	4	0	3	5	2	4	5	0	7	2	5	4	2	2	2	11	2
chr6	10903196	10907774	+	NM_001040274	INTRON	2	2	2	1	0	9	0	0	3	3	0	2	0	0	0	0	0	0	0	0
chr20	37518308	37529223	+	NM_001172735	INTRON	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
chr7	76943806	76950041	-	NM_017439	INTRON	28	92	59	66	64	57	136	64	35	65	58	27	23	88	14	72	61	7	99	64
chr9	123705787	123716007	-	NM_001317163	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
chr12	22697113	22697253	-	NM_001286174	INTRON	18	16	18	21	30	0	17	48	9	25	33	20	28	21	21	24	10	11	19	12
chr9	71580886	71590579	-	NR_110647	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
chr7	139478164	139480538	+	NM_001130966	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr6	44214932	44220781	+	NM_001271969	INTRON	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
chr7	151816415	151817915	+	NM_001304514	INTRON	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
chr1	113655382	113657050	+	NM_001312686	INTRON	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
chr13	31725187	31725275	-	NM_001286503	INTRON	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	54697123	54753508	+	NM_003128	INTRON	2	0	0	0	2	0	0	9	0	0	0	8	4	0	10	3	0	10	0	0
chr12	113345024	113345477	+	NM_001032409	INTRON	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr17	36902854	36904131	-	NM_007144	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr20	23361913	23370582	-	NM_001283018	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
chr7	65340956	65413657	+	NM_173517	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr15	56677502	56681515	+	NM_001286449	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr12	123693715	123730835	+	NM_022782	INTRON	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12	57032098	57032170	-	NM_001686	INTRON	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5	179267402	179267871	-	NM_001017987	INTRON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
chr3	129020985	129023434	+	NM_001006109	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chr4	154479490	154501977	+	NM_001131007	INTRON	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chr21	39644479	39668847	+	NM_001276436	INTRON	15	0	4	5	0	0	43	3	39	14	0	9	8	0	4	2	11	0	4	2
chr7	156759969	156761780	+	NM_138400	INTRON	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
chr14	75598834	75601666	-	NM_006827	INTRON	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17	26606050	27131938	+	NR_028334	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr16	11931862	11931889	-	NM_015659	INTRON	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12	32884068	32884289	-	NM_001278463	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
chr4	151837890	151842349	-	NM_001199282	INTRON	41	36	9	17	29	0	20	96	17	18	21	12	18	19	24	21	10	15	22	7
chr6	74227770	74227887	-	NM_001402	INTRON	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	32478927	32707355	-	NR_120548	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr4	95206220	95210623	-	NM_001128429	INTRON	0	2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
chr11	108196271	108196784	-	NM_000051	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
chr16	19702793	19702984	+	NM_001300743	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr1	235296648	235298966	-	NM_001346738	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
chr6	35436212	35437217	-	NM_007104	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	93738860	94030858	+	NM_001306076	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr7	94039133	94039553	+	NM_000089	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chr1	46740389	46743492	+	NM_001142548	INTRON	0	0	0	1	0	2	4	0	0	2	0	2	0	0	0	0	1	0	0	0
chr5	34922693	34922799	+	NM_018321	INTRON	260	257	191	350	316	275	256	736	267	236	526	256	589	452	368	476	433	308	848	386
chr2	114390637	114437600	+	NM_001306158	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr17	79827833	79828074	-	NM_001185077	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	19243536	19244855	-	NM_001136265	INTRON	53	21	26	40	58	0	56	111	43	54	60	16	53	32	52	75	18	21	46	26
chr5	65473354	65729326	+	NM_001077199	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr9	108302542	108310136	+	NM_001145313	INTRON	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19	54631287	54640687	-	NM_015629	INTRON	0	0	0	1	2	0	0	0	2	0	0	0	2	0	0	0	0	2	1	0
chr1	224175856	224180167	-	NR_132119	INTRON	4	0	2	0	5	0	0	2	0	0	0	0	0	0	0	4	2	2	0	0
chr1	89732836	89733193	-	NM_001134486	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr12	112518938	112528529	-	NM_024953	INTRON	6	0	0	7	6	5	6	3	2	1	6	6	5	0	4	4	4	3	1	2
chr20	44464332	44469086	+	NM_001042633	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
chr10	27541319	27543680	+	NR_003525	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
chr15	57227728	57355947	+	NM_001322164	INTRON	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
chr2	27592786	27592972	-	NM_001318965	INTRON	0	0	1	7	6	0	2	4	6	4	3	3	4	2	4	1	0	5	2	2
chr7	27868286	27868313	+	NM_001079864	INTRON	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr8	101716594	101730102	-	NM_002568	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19	36395527	36398119	-	NM_001173514	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
chr18	56205230	56212277	+	NM_052947	INTRON	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
chr3	12877641	12881654	-	NM_000994	INTRON	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr22	39419019	39427698	+	NM_152426	INTRON	2	1	0	1	0	0	1	1	0	0	3	2	1	0	2	0	2	1	2	0
chr1	43315413	43316620	+	NM_001242739	INTRON	5	2	6	7	9	4	7	4	13	14	2	13	7	7	13	7	10	19	28	3
chr8	74203487	74203881	-	NM_000971	INTRON	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
chr1	11148255	11151070	-	NM_001001998	INTRON	0	0	2	0	0	0	0	0	2	4	0	0	0	1	1	0	0	0	0	0
chr20	35153969	35199843	-	NM_001042486	INTRON	0	1	0	1	0	0	2	0	1	0	0	0	1	0	4	0	0	0	1	0
chr17	33310571	33316484	+	NM_002311	INTRON	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	4	0	0	0	0
chr14	65844319	65922338	+	NM_004480	INTRON	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
chr10	79570992	79571218	-	NM_004747	INTRON	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
chr12	57011316	57023457	-	NM_001300905	INTRON	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
chr19	17887502	17887531	+	NM_001161357	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
chr19	11998801	12014378	+	NM_001321163	INTRON	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
chrX	11134080	11135386	+	NM_001122608	INTRON	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19	39457492	39466209	-	NM_024907	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
