chr	start	end	strand	NM	intron	10_2X_S10.txt	11_S1.txt	12_S2.txt	1_2X_S1.txt	13_S3.txt	14_S4.txt	15_S5.txt	16_S6.txt	17_S7.txt	18_S8.txt	19_S9.txt	20_S10.txt	2_2X_S2.txt	3_2X_S3.txt	4_2X_S4.txt	5_2X_S5.txt	6_2X_S6.txt	7_2X_S7.txt	8_2X_S8.txt	9_2X_S9.txt
NC_000017.10	41228631	41234420	-	NM_007300	INTRON	7	0	10	25	3	9	6	4	13	8	14	14	10	5	14	19	7	7	24	7
NC_000013.10	32949543	32953886	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
NC_000013.10	32929425	32931878	+	NM_000059	INTRON	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0
NC_000013.10	32944694	32945092	+	NM_000059	INTRON	54	25	21	105	30	16	31	42	63	92	63	122	137	51	65	35	46	60	24	49
NC_000017.10	41201211	41209068	-	NM_007294	INTRON	0	0	0	2	0	0	1	0	0	0	0	0	2	3	0	0	2	0	1	0
NC_000013.10	32954050	32954143	+	NM_000059	INTRON	79	11	38	99	41	16	53	72	104	93	51	171	101	56	74	43	21	58	45	85
NC_000017.10	41243520	41247862	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NC_000013.10	32945237	32949479	+	NM_000059	INTRON	23	4	2	43	12	6	7	10	28	9	10	54	23	9	31	7	16	8	13	19
NC_000017.10	41228628	41231350	-	NM_007294	INTRON	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NC_000013.10	32936679	32937315	+	NM_000059	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41231677	41348512	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NC_000017.10	41187665	41201137	-	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NC_000013.10	32929425	32930547	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
NC_000017.10	41235968	41254175	+	NM_007294	INTRON	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NC_000013.10	32921033	32928997	+	NM_000059	INTRON	31	21	13	100	38	12	63	49	95	106	67	123	149	71	80	43	31	35	28	59
NC_000013.10	32890423	32890558	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1
