chr	start	end	strand	NM	intron	LU_01.008.0483_LCL_mRNA_L1_S1..txt	LU_01.008.0483_LCL_totRNA_L1_S1..txt	LU_03.006.0289_LCL_mRNA_L1_S1..txt	LU_03.006.0289_LCL_totRNA_L1_S1..txt	LU_05.002.0176_LCL_mRNA_L1_S1..txt	LU_05.002.0176_LCL_totRNA_L1_S1..txt	LU_06.009.0425_LCL_mRNA_L1_S1..txt	LU_06.009.0425_LCL_totRNA_L1_S1..txt	LU_06.009.0916_RNA_LW_treat_mRNA_L1_S1..txt	LU_06.009.0916_RNA_LW_treat_totRNA_L1_S1..txt	LU_06.009.0916_RNA_LW_untr_mRNA_L1_S1..txt	LU_07.111.0075_LCL_mRNA_L1_S1..txt	LU_07.111.0075_LCL_totRNA_L1_S1..txt	LU_07.111.0085_RNA_MT_mRNA_L1_S1..txt	LU_07.111.0085_RNA_MT_totRNA_L1_S1..txt	LU_07.111.0097_RNA_MT_mRNA_L1_S1..txt	LU_07.111.0097_RNA_MT_totRNA_L1_S1..txt	LU_08.111.0021_LCL_mRNA_L1_S1..txt	LU_08.111.0021_LCL_totRNA_L1_S1..txt	LU_99.003.3193_RNA_MT_mRNA_L1_S1..txt	LU_99.003.3193_RNA_MT_totRNA_L1_S1..txt	LU_99.005.0355_LCL_mRNA_L1_S1..txt	LU_99.005.0355_LCL_totRNA_L1_S1..txt	LU_99.006.1923_LCL_totRNA_L1_S1..txt
chr3	112301586	112304427	+	NM_017945	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr19	36266566	36268546	+	NM_001172630	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7	76943806	76950041	-	NM_017439	INTRON	1	3	1	0	0	1	0	1	7	0	0	0	0	0	0	4	1	1	1	0	0	1	0	0
chr10	89692776	89692835	+	NM_000314	INTRON	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17	8737975	8738589	-	NM_001010855	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
chr12	22697113	22697253	-	NM_001286174	INTRON	0	1	0	0	0	0	1	2	1	2	0	1	0	0	2	2	1	1	0	0	5	0	0	5
chr13	32937670	32949479	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	33	0	0	0	0
chr6	151688027	151712554	-	NM_020861	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr16	30770568	30771604	-	NM_000294	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr22	29091804	29092894	-	NM_001005735	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr2	54697123	54753508	+	NM_003128	INTRON	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0
chr12	113345024	113345477	+	NM_001032409	INTRON	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11	118920063	118920267	-	NM_001130991	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
chr7	152513673	152516451	+	NM_001040135	INTRON	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
chrX	153298008	153363060	-	NM_001316337	INTRON	0	0	0	0	0	0	2	0	1	2	2	0	0	0	0	4	0	0	2	0	0	0	0	0
chr19	18644157	18650360	-	NM_001308373	INTRON	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
