chr	start	end	strand	NM	intron	001_CZMEL1_010080483_RNA_NXrun2_R.txt	001_CZMEL1_030060289_RNA_NXrun2_R.txt	001_CZMEL1_050020176_RNA_NXrun2_R.txt	001_CZMEL1_060090425_RNA_NXrun2_R.txt	001_CZMEL1_060090915_RNA_NXrun2_R.txt	001_CZMEL1_07III0075_RNA_NXrun2_R.txt	001_CZMEL1_07III0082_RNA_NXrun2_R.txt	001_CZMEL1_07III0085_RNA_NXrun2_R.txt	001_CZMEL1_07III0097_RNA_NXrun2_R.txt	001_CZMEL1_07III0134_RNA_NXrun2_R.txt	001_CZMEL1_08III0021_RNA_NXrun2_R.txt	001_CZMEL1_08III0059_RNA_NXrun2_R.txt	001_CZMEL1_08III0064_RNA_NXrun2_R.txt	001_CZMEL1_08III0065_RNA_NXrun2_R.txt	001_CZMEL1_08III0066_RNA_NXrun2_R.txt	001_CZMEL1_990033193_RNA_NXrun2_R.txt	001_CZMEL1_990050355_RNA_NXrun2_R.txt	001_CZMEL1_990061923_RNA_NXrun2_R.txt	001_CZMEL1_T010080483_RNA_NXrun2_R.txt	001_CZMEL1_T030060289_RNA_NXrun2_R.txt	001_CZMEL1_T050020176_RNA_NXrun2_R.txt	001_CZMEL1_T060090425_RNA_NXrun2_R.txt	001_CZMEL1_T060090915_RNA_NXrun2_R.txt	001_CZMEL1_T07III0075_RNA_NXrun2_R.txt	001_CZMEL1_T07III0082_RNA_NXrun2_R.txt	001_CZMEL1_T07III0085_RNA_NXrun2_R.txt	001_CZMEL1_T07III0097_RNA_NXrun2_R.txt	001_CZMEL1_T07III0134_RNA_NXrun2_R.txt	001_CZMEL1_T08III0021_RNA_NXrun2_R.txt	001_CZMEL1_T08III0059_RNA_NXrun2_R.txt	001_CZMEL1_T08III0064_RNA_NXrun2_R.txt	001_CZMEL1_T08III0065_RNA_NXrun2_R.txt	001_CZMEL1_T08III0066_RNA_NXrun2_R.txt	001_CZMEL1_T990033193_RNA_NXrun2_R.txt	001_CZMEL1_T990050355_RNA_NXrun2_R.txt	001_CZMEL1_T990061923_RNA_NXrun2_R.txt
chr12	57909119	57909702	+	NM_004990	INTRON	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	1	1	2	0	0	0	1	0	0	0	0	1
chr12	22697113	22697253	-	NM_001286174	INTRON	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
chr13	32937670	32949479	+	NM_000059	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr4	154519850	154523303	-	NM_001131007	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr2	84660559	84668170	-	NM_003849	INTRON	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
chr22	42003865	42016755	-	NM_015704	INTRON	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	0	0	0	2	0	0
chrX	153298008	153363060	-	NM_001316337	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	1	0	0
chr10	98592156	98667021	+	NR_135921	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3	119344083	119347547	+	NR_120610	INTRON	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
chrUn_gl000220	111956	117881	+	NR_046235	INTRON	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
