# Differential expression of Genes BRCA1/BRCA2
# Analysis by HTSeq count + DESeq2
# p-value of DE according the gene impacted by the variant
# With NMD inhibitor
Site	B1_c.591C_T	B1_IVS4-1G_T	B1_IVS9-2A_C	B1_IVS10-2A_G	B1_IVS23+5G_C	B2_c.7988A_T	B2_IVS4-12_-8del	B2_IVS20+1G_A	B2_IVS25+3A_T
RunCaen	0.98886753666289	0.970639743392115	0.96930013962849	0.224347727731572	0.273223605967179	0.859743540770624	0.634480673765122	0.859748025906229	0.0150824261963032
RunDouglas	.	.	.	.	.	.	.	.	.
RunInge	.	.	.	.	.	.	.	.	.
RunKvist	.	.	.	.	.	.	.	.	.
RunLogan	.	0.415974891352193	0.533256154013785	0.774329822805918	0.0771431559993987	0.158647724876985	0.0597121532427583	0.264394908114505	0.752562998635062
RunMthomassen	.	.	.	.	.	.	.	.	.
RunPetra	.	0.5460922296389	0.630951717678277	0.723873875224607	0.316304946782061	0.0135756648158365	0.123827771680535	0.231644091523613	0.0542223700674588
RunRachid	.	0.557707218427108	0.552071642261083	0.999999537710337	.	.	0.734635885241304	0.999999569192697	.
RunRien	0.491583801004975	0.608442004119855	0.96307371732848	0.322371768791	0.516104535243201	0.521474703152215	0.638875258602457	0.270553077184561	0.577604141093839
RunVohansen	.	.	.	.	.	.	.	.	.
# Without NMD inhibitor
Site	B1_c.591C_T	B1_IVS4-1G_T	B1_IVS9-2A_C	B1_IVS10-2A_G	B1_IVS23+5G_C	B2_c.7988A_T	B2_IVS4-12_-8del	B2_IVS20+1G_A	B2_IVS25+3A_T
RunCaen	0.17883876213226	0.342250874689257	0.0522774810462177	0.396965497986333	0.865095144674446	0.0598597477281093	0.873123105933556	0.624720108679891	0.808207445793982
RunDouglas	.	0.594159073531038	0.247347583875183	0.796128911887641	0.324712658130712	0.019785580818433	0.226584005875215	0.499189319719316	0.029301617495187
RunInge	0.968878055604443	0.633966966428361	0.555769205397362	0.00263659630236537	0.539576695379215	0.326699479449094	0.501860574420829	0.569706298803157	0.0610696827446695
RunKvist	.	0.567857983398742	0.953675698274286	0.691155394550719	0.847122036014634	0.902470756053523	0.733789892412006	0.508084004680167	0.285492702315481
RunLogan	.	0.0377050064218118	0.0954487529666426	0.968596046752364	0.079266259840739	0.745144125200234	0.443799790769593	0.229311718621541	0.435617354423667
RunMthomassen	0.891789460115978	0.700971503518771	0.840177109099147	0.972698752063454	0.211613352631565	0.34234051006394	0.0469389578850376	0.272653293237	0.140286927141746
RunPetra	.	.	0.263946675559332	0.157201082914869	0.566695635850936	0.325291980183913	0.733761185081864	0.805985423398173	0.0748062830321183
RunRachid	.	.	.	.	.	.	0.922865280190209	0.999998521790072	.
RunRien	0.816509440828751	0.950530637526304	0.99136866768453	0.118517384603616	0.587628919526039	0.603288282285034	0.929615924543172	0.0781617621518902	0.946040576589747
RunVohansen	.	0.392613236692415	0.706463397593742	0.264191208881846	0.327480003149858	0.026561036840364	0.109326522643431	0.661670997471194	0.126559016719228

